Angle (°),Distance (mm)
313.23,974.25
314.89,992.00
316.53,989.75
317.97,1176.25
335.77,1691.75
337.41,0.00
340.88,1479.25
342.52,1502.00
344.11,1484.00
345.80,1523.75
352.41,1427.25
354.08,1381.50
357.39,1373.75
358.95,1451.25
0.58,1497.75
2.20,1505.75
3.91,1493.50
5.53,1470.50
7.25,1448.25
8.89,1429.50
15.58,1364.75
17.27,1349.50
19.77,4624.50
21.42,4579.75
23.08,4550.75
24.73,4532.50
26.38,4520.50
27.89,0.00
29.56,7298.75
31.16,0.00
32.83,8494.25
35.05,1962.50
36.70,1854.00
38.45,1754.25
40.14,1668.25
41.83,1591.25
43.50,1528.50
45.23,1456.25
46.91,1401.75
48.59,0.00
50.28,1355.25
51.89,0.00
53.61,1327.75
55.20,1334.25
56.83,1418.75
61.89,1139.50
70.12,1077.00
71.80,1089.50
74.97,1153.75
76.64,1188.50
78.19,1223.25
79.84,1262.50
81.42,1308.75
83.16,1353.25
84.80,1409.00
87.70,2309.00
89.33,2371.00
90.94,2435.25
92.56,2548.75
94.17,2677.25
95.81,2818.25
97.77,0.00
99.53,0.00
101.16,1610.00
102.84,1629.75
104.47,1603.25
106.19,1601.75
107.72,1601.50
109.38,1599.50
110.98,1614.75
113.66,4854.25
115.31,4944.00
120.25,5235.50
121.89,5229.00
123.58,0.00
125.23,4820.75
126.86,4855.50
128.52,4858.50
130.14,4989.25
131.86,5073.25
133.53,5095.00
135.19,4944.00
136.81,5044.75
138.48,4979.25
140.12,4979.25
145.06,5282.75
156.72,0.00
158.47,0.00
161.80,3156.75
163.47,3043.00
165.16,2935.25
167.44,0.00
169.14,1306.50
170.67,0.00
172.23,1580.75
173.52,2606.50
175.16,2525.75
176.83,2620.00
178.44,2724.50
180.05,2840.00
196.61,2622.50
198.28,2557.50
199.94,2545.75
201.59,2450.00
203.31,2439.50
204.98,2431.00
206.66,2421.50
208.30,2335.50
209.98,2329.75
211.66,2309.75
213.28,2400.00
214.97,2279.50
216.58,2311.00
218.27,2266.75
219.92,2236.75
221.59,2261.00
223.23,2341.25
224.86,2314.75
233.91,0.00
228.78,1103.75
230.45,1117.25
232.20,1043.00
238.59,0.00
240.23,1217.75
241.38,0.00
243.02,2199.00
244.73,2108.00
246.39,2145.75
248.02,2185.75
